car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Mahindra Thar LX 4-Str Hard Top Diesel AT,2350335.0,19000,Diesel,Automatic,2022,2184,4,Mahindra
Hyundai i20 Magna Optional 1.4 CRDi,524832.0,56000,Diesel,Manual,2013,1396,5,Hyundai
Honda City 1.5 V MT,503355.0,65000,Petrol,Manual,2010,1497,5,Honda
Toyota Etios G,657718.0,27680,Petrol,Manual,2013,1496,5,Toyota
Kia Seltos GTX Plus AT D,2449664.0,27305,Diesel,Automatic,2021,1493,5,Kia
MG Hector Sharp DCT,2012080.0,44000,Petrol,Automatic,2019,1451,5,MG
Kia Seltos HTK G,1609395.0,63000,Petrol,Manual,2020,1497,5,Kia
Hyundai i20 Sportz Plus Diesel,872483.0,87000,Diesel,Manual,2019,1396,5,Hyundai
Maruti Alto LXi,255033.0,61000,Petrol,Manual,2010,796,5,Maruti
Hyundai i20 Sportz Option 1.4 CRDi,838926.0,72000,Diesel,Manual,2016,1396,5,Hyundai
Audi A4 2.0 TDI Multitronic,2216107.0,70000,Diesel,Automatic,2015,1968,5,Audi
Nissan Micra Diesel XV,302013.0,58000,Diesel,Manual,2012,1461,5,Nissan
Honda Jazz Active,174496.0,90000,Petrol,Manual,2009,1198,5,Honda
Honda City VX MT,1677852.0,19000,Petrol,Manual,2022,1497,5,Honda
Toyota Corolla Altis G AT,1241610.0,72159,Petrol,Automatic,2014,1798,5,Toyota
Ford Ecosport 1.5 DV5 MT Titanium,791946.0,78000,Diesel,Manual,2015,1498,5,Ford
Ford Ecosport 1.5 Diesel Titanium BSIV,926174.0,58000,Diesel,Manual,2018,1498,5,Ford
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,1194630.0,72000,Diesel,Manual,2018,1498,5,Ford
Land Rover Range Rover Evoque 2.0 TD4 SE,5704697.0,56000,Diesel,Automatic,2018,1999,5,Land
Nissan Micra Diesel XV,389261.0,73000,Diesel,Manual,2012,1461,5,Nissan
Hyundai Creta 1.6 VTVT S,1194630.0,28840,Petrol,Manual,2016,1591,5,Hyundai
Maruti Swift Dzire AMT ZXI,926174.0,51500,Petrol,Automatic,2019,1197,5,Maruti
Maruti S-Presso VXI Plus AT 2019-2022,644295.0,41370,Petrol,Automatic,2020,998,5,Maruti
Hyundai Creta 1.6 VTVT S,1174496.0,41266,Petrol,Manual,2016,1591,5,Hyundai
Hyundai Verna VTVT 1.6 AT SX Option,1328859.0,31740,Petrol,Automatic,2018,1591,5,Hyundai
Maruti Ciaz VXi Plus,825503.0,77876,Petrol,Manual,2015,1373,5,Maruti
Skoda Kushaq 1.5 TSI Style,2751677.0,9500,Petrol,Manual,2022,1498,5,Skoda
Hyundai Grand i10 1.2 Kappa Sportz Option AT,838926.0,28387,Petrol,Automatic,2019,1197,5,Hyundai
Hyundai Grand i10 Magna,604026.0,20000,Petrol,Manual,2017,1197,5,Hyundai
Mercedes-Benz C-Class Progressive C 220d,5704697.0,30686,Diesel,Automatic,2020,1950,5,Mercedes-Benz
Maruti Ciaz Delta Diesel,838926.0,55000,Diesel,Manual,2015,1248,5,Maruti
Hyundai Grand i10 1.2 Kappa Sportz Option,771812.0,38000,Petrol,Manual,2019,1197,5,Hyundai
Audi Q3 30 TFSI Premium FWD,3154362.0,40000,Petrol,Automatic,2017,1395,5,Audi
Hyundai Santro GS zipDrive - Euro II,181208.0,60000,Petrol,Manual,2006,999,5,Hyundai
Maruti Swift LDI,281879.0,143000,Diesel,Manual,2011,1248,5,Maruti
Tata Indica Aqua 1.3 Quadrajet BSIV,167785.0,110000,Diesel,Manual,2012,1248,5,Tata
Mahindra KUV 100 mFALCON D75 K4 Plus,637583.0,58000,Diesel,Manual,2017,1198,6,Mahindra
Honda City i VTEC SV,738255.0,65000,Petrol,Manual,2014,1497,5,Honda
Tata Zest Revotron 1.2 XT,468456.0,55000,Petrol,Manual,2015,1193,5,Tata
Mahindra XUV500 AT W10 FWD,1241610.0,78000,Diesel,Automatic,2016,2179,7,Mahindra
Honda City V MT,523489.0,58000,Petrol,Manual,2010,1497,5,Honda
Mahindra XUV500 W10 2WD,1375838.0,91000,Diesel,Manual,2017,2179,7,Mahindra
Mahindra XUV500 AT W10 1.99 mHawk,1510067.0,30000,Diesel,Automatic,2016,1997,7,Mahindra
Maruti Baleno 1.2 Zeta,973154.0,44153,Petrol,Manual,2018,1197,5,Maruti
Mercedes-Benz C-Class C 250d Avantgarde Edition C,4630872.0,21000,Diesel,Automatic,2018,2143,5,Mercedes-Benz
Hyundai Alcazar Signature Diesel AT,2617449.0,27300,Diesel,Automatic,2021,1493,6,Hyundai
Renault KWID 1.0 RXT,416107.0,50000,Petrol,Manual,2017,999,5,Renault
Maruti Wagon R LXI BSII,174496.0,77000,Petrol,Manual,2005,998,5,Maruti
Maruti Swift Dzire AMT VXI,872483.0,53000,Petrol,Automatic,2018,1197,5,Maruti
Datsun RediGO S,369127.0,20000,Petrol,Manual,2017,799,5,Datsun
Honda Brio S Option MT,469798.0,72000,Petrol,Manual,2013,1198,5,Honda
Hyundai Creta 1.6 VTVT S,1194630.0,26000,Petrol,Manual,2016,1591,5,Hyundai
Honda Amaze S i-Dtech,570469.0,66000,Diesel,Manual,2015,1498,5,Honda
Maruti Alto K10 VXI AMT,577181.0,30000,Petrol,Automatic,2018,998,5,Maruti
Maruti Wagon R LXI Minor,283221.0,61000,Petrol,Manual,2009,1061,5,Maruti
Renault Duster 110PS Diesel RxZ AMT,1308724.0,31000,Diesel,Automatic,2018,1461,5,Renault
Volkswagen Polo GT TSI,838926.0,66000,Petrol,Automatic,2015,1197,5,Volkswagen
Mahindra XUV700 AX3 AT,2348993.0,9000,Petrol,Automatic,2022,1999,5,Mahindra
Tata Tigor 1.2 Revotron XT,456375.0,60000,Petrol,Manual,2017,1199,5,Tata
Skoda Fabia 1.2 MPI Active,147651.0,110000,Petrol,Manual,2009,1198,5,Skoda
Kia Seltos HTX Plus AT D,2248322.0,51001,Diesel,Automatic,2020,1493,5,Kia
Mercedes-Benz GLA Class 200 d Sport,3610738.0,58000,Diesel,Automatic,2019,2143,5,Mercedes-Benz
Hyundai i20 Diesel Sportz,872483.0,73290,Diesel,Manual,2018,1396,5,Hyundai
Hyundai Verna 1.6 CRDi S,1060402.0,44283,Diesel,Manual,2017,1582,5,Hyundai
Maruti Celerio VXI AT,570469.0,48000,Petrol,Automatic,2016,998,5,Maruti
Honda City 1.5 S MT,456375.0,107500,Petrol,Manual,2010,1497,5,Honda
Maruti Vitara Brezza LXI,1040268.0,10000,Petrol,Manual,2021,1462,5,Maruti
Maruti Wagon R LXI BS IV,288590.0,120000,Petrol,Manual,2011,998,5,Maruti
Maruti Wagon R LXI BS IV,318120.0,120000,Petrol,Manual,2011,998,5,Maruti
Mahindra KUV 100 NXT G80 K2,570469.0,46000,Petrol,Manual,2018,1198,6,Mahindra
